countriesAndTerritories,sum(cases),sum(deaths)
Afghanistan,337,7
Albania,377,22
Andorra,526,21
Algeria,1423,173
Angola,16,2
Anguilla,3,0
Antigua_and_Barbuda,15,0
Argentina,1628,53
Armenia,833,8
Aruba,71,0
Australia,5844,42
Austria,12297,220
Azerbaijan,641,7
Bahamas,33,5
Bahrain,756,4
Bangladesh,123,12
Barbados,60,2
Belarus,700,13
Belgium,20814,1632
Belize,7,1
Benin,26,1
Bermuda,39,2
Bhutan,5,0
Bolivia,194,14
"Bonaire, Saint Eustatius and Saba",2,0
Bosnia_and_Herzegovina,695,28
Botswana,7,1
Brazil,12056,553
British_Virgin_Islands,3,0
Brunei_Darussalam,135,1
Bulgaria,549,22
Burkina_Faso,364,17
Burundi,3,0
Cambodia,115,0
Cameroon,658,9
Canada,16653,323
Cape_Verde,7,1
Cases_on_an_international_conveyance_Japan,696,7
Cayman_Islands,39,1
Central_African_Republic,9,0
Chad,9,0
Chile,4815,37
China,82698,3335
Colombia,1579,46
Congo,45,5
Costa_Rica,467,2
Cote_dIvoire,323,3
Croatia,1222,16
Cuba,350,9
Curaçao,13,1
Cyprus,465,14
Czechia,4822,78
Democratic_Republic_of_the_Congo,161,18
Denmark,4681,187
Djibouti,90,0
Dominica,15,0
Dominican_Republic,1828,86
Ecuador,3747,191
Egypt,1073,78
El_Salvador,78,4
Equatorial_Guinea,16,0
Eritrea,31,0
Estonia,1108,19
Eswatini,10,0
Ethiopia,44,2
Falkland_Islands_(Malvinas),2,0
Faroe_Islands,183,0
Fiji,14,0
Finland,2176,27
France,74390,8911
French_Polynesia,41,0
Gabon,21,1
Gambia,4,1
Georgia,188,2
Germany,99225,1607
Ghana,287,5
Gibraltar,109,1
Greece,1755,79
Greenland,11,0
Grenada,12,0
Guam,112,4
Guatemala,74,3
Guernsey,165,4
Guinea,128,0
Guinea_Bissau,33,0
Guyana,31,5
Haiti,24,1
Holy_See,7,0
Honduras,305,22
Hungary,817,47
Iceland,1562,6
India,4421,114
Indonesia,2491,209
Iran,60500,3739
Iraq,1031,64
Ireland,5364,174
Isle_of_Man,139,1
Israel,8904,57
Italy,132547,16525
Jamaica,59,3
Japan,3817,80
Jersey,169,3
Jordan,349,6
Kazakhstan,670,6
Kenya,158,4
Kosovo,145,3
Kuwait,665,1
Kyrgyzstan,228,4
Laos,12,0
Latvia,542,1
Lebanon,541,19
Liberia,14,3
Libya,18,1
Liechtenstein,78,1
Lithuania,843,14
Luxembourg,2843,41
Madagascar,77,0
Malawi,5,0
Malaysia,3793,62
Maldives,19,0
Mali,47,5
Malta,241,0
Mauritania,6,1
Mauritius,244,7
Mexico,2439,125
Moldova,965,19
Monaco,77,2
Mongolia,15,0
Montenegro,233,2
Montserrat,6,0
Morocco,1120,80
Mozambique,10,0
Myanmar,22,1
Namibia,16,0
Nepal,9,0
Netherlands,18803,1867
New_Caledonia,18,0
New_Zealand,943,1
Nicaragua,6,1
Niger,253,10
Nigeria,238,5
North_Macedonia,570,21
Northern_Mariana_Islands,8,1
Norway,5755,59
Oman,371,2
Pakistan,3864,54
Palestine,253,1
Panama,2100,55
Papua_New_Guinea,1,0
Paraguay,113,5
Peru,2561,92
Philippines,3660,163
Poland,4413,107
Portugal,11730,311
Puerto_Rico,513,21
Qatar,1832,4
Romania,4057,157
Russia,6343,47
Rwanda,105,0
Saint_Kitts_and_Nevis,11,0
Saint_Lucia,14,0
Saint_Vincent_and_the_Grenadines,7,0
San_Marino,277,32
Saudi_Arabia,2523,38
Senegal,226,2
Serbia,2200,58
Seychelles,11,0
Sierra_Leone,6,0
Singapore,1375,6
Sint_Maarten,25,4
Slovakia,534,2
Slovenia,1021,30
Somalia,7,0
South_Africa,1686,12
South_Korea,10331,192
South_Sudan,1,0
Spain,135032,13055
Sri_Lanka,178,5
Sudan,12,2
Suriname,10,1
Sweden,7206,477
Switzerland,21574,584
Syria,19,2
Taiwan,373,5
Thailand,2258,26
Timor_Leste,1,0
Togo,58,3
Trinidad_and_Tobago,105,8
Tunisia,574,22
Turkey,30217,649
Turks_and_Caicos_islands,8,1
Uganda,52,0
Ukraine,1319,38
United_Arab_Emirates,2076,11
United_Kingdom,51608,5373
United_Republic_of_Tanzania,24,1
United_States_of_America,368196,10989
United_States_Virgin_Islands,42,1
Uruguay,415,6
Uzbekistan,397,2
Venezuela,159,5
Vietnam,245,0
Zambia,39,1
Zimbabwe,9,1
