Date,Open,High,Low,Close,Adj Close,Volume,Price
2020-01-02,28.98,29.299999,28.65,29.09,28.982893,6451100,61.17
2020-01-03,28.27,28.290001,27.34,27.65,27.548195,14008900,63.0
2020-01-06,27.190001,27.49,27.08,27.32,27.21941,6105800,63.27
2020-01-07,27.559999,27.68,27.059999,27.219999,27.119778,6105900,62.7
2020-01-08,27.1,28.09,27.07,27.84,27.737495,10496800,59.65
2020-01-09,28.09,28.23,27.709999,27.950001,27.847092,6898900,59.56
2020-01-10,27.959999,27.99,27.25,27.32,27.21941,8106800,59.02
2020-01-13,27.32,27.530001,27.16,27.389999,27.289152,5874400,58.17
2020-01-14,27.91,28.4,27.35,27.530001,27.428638,8888900,58.34
2020-01-15,27.450001,28.059999,27.32,27.58,27.478453,5689900,57.86
2020-01-16,27.790001,28.26,27.76,28.23,28.12606,6442800,58.52
2020-01-17,28.299999,28.719999,28.059999,28.4,28.295433,7379400,58.55
2020-01-21,27.969999,27.99,27.049999,27.200001,27.099854,16409400,58.25
2020-01-22,27.51,27.91,27.299999,27.32,27.21941,9852600,56.76
2020-01-23,27.389999,28.99,26.040001,28.799999,28.69396,25611100,55.51
2020-01-24,28.85,28.860001,27.01,27.639999,27.538231,18067800,54.09
2020-01-27,26.57,26.6,25.370001,26.110001,26.013866,21573800,53.09
2020-01-28,26.360001,27.120001,26.26,26.9,26.800957,11939200,53.33
2020-01-29,26.879999,27.49,26.74,26.799999,26.701324,9088700,53.29
2020-01-30,26.299999,27.790001,26.26,27.719999,27.617937,10685500,52.19
2020-01-31,27.5,27.52,26.59,26.84,26.741179,11027900,51.58
2020-02-03,26.93,27.67,26.74,27.16,27.059999,7631900,50.06
2020-02-04,27.68,28.610001,27.549999,28.43,28.43,10832900,49.59
2020-02-05,28.959999,29.24,28.549999,29.1,29.1,8959700,50.87
2020-02-06,29.26,29.450001,28.139999,28.299999,28.299999,8335800,50.94
2020-02-07,28.059999,28.549999,27.780001,28.379999,28.379999,6231800,50.34
2020-02-10,28.190001,28.809999,27.98,28.790001,28.790001,15134300,49.59
2020-02-11,29.059999,29.940001,28.969999,29.84,29.84,8977700,50.0
2020-02-12,30.0,30.780001,29.99,30.469999,30.469999,9315400,51.13
2020-02-13,30.030001,30.4,29.73,30.09,30.09,9119400,51.41
2020-02-14,30.01,30.27,29.139999,29.200001,29.200001,5524800,52.03
2020-02-18,29.040001,29.35,28.49,28.629999,28.629999,10485100,52.1
2020-02-19,28.84,28.879999,28.309999,28.33,28.33,8400700,53.31
2020-02-20,28.24,28.9,28.200001,28.51,28.51,10093400,53.77
2020-02-21,28.120001,28.299999,27.17,27.82,27.82,11253600,53.36
2020-02-24,25.98,26.110001,25.0,25.450001,25.450001,21713200,51.36
2020-02-25,25.620001,25.75,23.049999,23.120001,23.120001,22296900,49.78
2020-02-26,23.57,23.75,22.110001,22.309999,22.309999,19610300,48.67
2020-02-27,20.85,22.48,19.77,20.6,20.6,31897300,47.17
2020-02-28,19.799999,20.35,18.77,19.049999,19.049999,37166400,44.83
2020-03-02,19.049999,19.059999,17.51,18.860001,18.860001,38738000,46.78
2020-03-03,19.66,19.790001,17.799999,17.85,17.85,35402500,47.27
2020-03-04,18.360001,18.549999,17.299999,18.530001,18.530001,44362100,46.78
2020-03-05,17.540001,17.65,15.98,16.040001,16.040001,44656800,45.9
2020-03-06,15.02,17.120001,14.8,15.97,15.97,54505000,41.14
2020-03-09,14.87,15.79,14.46,14.75,14.75,42558000,31.05
2020-03-10,15.82,17.67,14.61,17.0,17.0,56972700,34.47
2020-03-11,16.309999,16.49,15.52,16.26,16.26,43705800,33.13
2020-03-12,14.05,15.75,13.33,13.45,13.45,53968500,31.56
2020-03-13,15.3,15.6,13.12,14.31,14.31,58376100,31.72
2020-03-16,12.41,16.200001,12.0,15.92,15.92,84916800,28.96
2020-03-17,15.79,18.49,14.79,15.58,15.58,58055800,26.96
2020-03-18,14.24,14.28,10.17,11.65,11.65,78458800,20.48
2020-03-19,11.6,12.16,10.01,10.29,10.29,71584500,25.09
2020-03-20,10.65,12.0,10.3,10.38,10.38,62681800,19.48
2020-03-23,10.9,11.36,10.01,10.25,10.25,56427300,23.33
2020-03-24,11.96,14.81,11.54,13.92,13.92,101553100,21.03
2020-03-25,16.690001,16.99,14.31,15.39,15.39,93795100,20.75
2020-03-26,16.059999,17.24,15.16,15.66,15.66,77530600,16.6
2020-03-27,14.98,15.22,13.91,14.04,14.04,50783500,15.48
2020-03-30,13.2,13.22,11.81,12.25,12.25,50516800,14.1
2020-03-31,12.9,12.96,12.1,12.19,12.19,44851400,20.51
2020-04-01,11.45,11.48,10.5,10.69,10.69,56854400,20.28
